2025 Federal Election House of Representatives Distribution of Preferences By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:02 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,318,Bean,0,1,41076,LAMERTON,David,LP,Liberal,N,N,Preference Count,23665
ACT,318,Bean,0,1,41076,LAMERTON,David,LP,Liberal,N,N,Preference Percent,23.04
ACT,318,Bean,0,1,41076,LAMERTON,David,LP,Liberal,N,N,Transfer Count,0
ACT,318,Bean,0,1,41076,LAMERTON,David,LP,Liberal,N,N,Transfer Percent,0
ACT,318,Bean,0,2,41682,PRICE,Jessie,IND,Independent,N,N,Preference Count,27120
ACT,318,Bean,0,2,41682,PRICE,Jessie,IND,Independent,N,N,Preference Percent,26.41
ACT,318,Bean,0,2,41682,PRICE,Jessie,IND,Independent,N,N,Transfer Count,0
ACT,318,Bean,0,2,41682,PRICE,Jessie,IND,Independent,N,N,Transfer Percent,0
ACT,318,Bean,0,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Preference Count,9757
ACT,318,Bean,0,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Preference Percent,9.5
ACT,318,Bean,0,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Transfer Count,0
ACT,318,Bean,0,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Transfer Percent,0
ACT,318,Bean,0,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,42158
ACT,318,Bean,0,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,41.05
ACT,318,Bean,0,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,318,Bean,0,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,318,Bean,1,1,41076,LAMERTON,David,LP,Liberal,N,N,Preference Count,23959
ACT,318,Bean,1,1,41076,LAMERTON,David,LP,Liberal,N,N,Preference Percent,23.33
ACT,318,Bean,1,1,41076,LAMERTON,David,LP,Liberal,N,N,Transfer Count,294
ACT,318,Bean,1,1,41076,LAMERTON,David,LP,Liberal,N,N,Transfer Percent,3.01
ACT,318,Bean,1,2,41682,PRICE,Jessie,IND,Independent,N,N,Preference Count,31882
ACT,318,Bean,1,2,41682,PRICE,Jessie,IND,Independent,N,N,Preference Percent,31.04
ACT,318,Bean,1,2,41682,PRICE,Jessie,IND,Independent,N,N,Transfer Count,4762
ACT,318,Bean,1,2,41682,PRICE,Jessie,IND,Independent,N,N,Transfer Percent,48.81
ACT,318,Bean,1,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Preference Count,0
ACT,318,Bean,1,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Preference Percent,0
ACT,318,Bean,1,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Transfer Count,-9757
ACT,318,Bean,1,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Transfer Percent,-100
ACT,318,Bean,1,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,46859
ACT,318,Bean,1,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,45.63
ACT,318,Bean,1,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,4701
ACT,318,Bean,1,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,48.18
ACT,318,Bean,2,1,41076,LAMERTON,David,LP,Liberal,N,N,Preference Count,0
ACT,318,Bean,2,1,41076,LAMERTON,David,LP,Liberal,N,N,Preference Percent,0
ACT,318,Bean,2,1,41076,LAMERTON,David,LP,Liberal,N,N,Transfer Count,-23959
ACT,318,Bean,2,1,41076,LAMERTON,David,LP,Liberal,N,N,Transfer Percent,-100
ACT,318,Bean,2,2,41682,PRICE,Jessie,IND,Independent,N,N,Preference Count,51000
ACT,318,Bean,2,2,41682,PRICE,Jessie,IND,Independent,N,N,Preference Percent,49.66
ACT,318,Bean,2,2,41682,PRICE,Jessie,IND,Independent,N,N,Transfer Count,19118
ACT,318,Bean,2,2,41682,PRICE,Jessie,IND,Independent,N,N,Transfer Percent,79.79
ACT,318,Bean,2,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Preference Count,0
ACT,318,Bean,2,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Preference Percent,0
ACT,318,Bean,2,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Transfer Count,0
ACT,318,Bean,2,3,41436,CARTER,Sam,GRN,Australian Greens,N,N,Transfer Percent,0
ACT,318,Bean,2,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,51700
ACT,318,Bean,2,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,50.34
ACT,318,Bean,2,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,4841
ACT,318,Bean,2,4,40676,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,20.21
ACT,101,Canberra,0,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Count,18504
ACT,101,Canberra,0,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Percent,19.81
ACT,101,Canberra,0,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Count,0
ACT,101,Canberra,0,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Percent,0
ACT,101,Canberra,0,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Count,1222
ACT,101,Canberra,0,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Percent,1.31
ACT,101,Canberra,0,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,0
ACT,101,Canberra,0,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,0
ACT,101,Canberra,0,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,10187
ACT,101,Canberra,0,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,10.91
ACT,101,Canberra,0,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,0
ACT,101,Canberra,0,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,0
ACT,101,Canberra,0,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,17101
ACT,101,Canberra,0,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,18.31
ACT,101,Canberra,0,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,0
ACT,101,Canberra,0,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,0
ACT,101,Canberra,0,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,45133
ACT,101,Canberra,0,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,48.32
ACT,101,Canberra,0,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,101,Canberra,0,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,101,Canberra,0,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Count,1258
ACT,101,Canberra,0,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Percent,1.35
ACT,101,Canberra,0,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Count,0
ACT,101,Canberra,0,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Percent,0
ACT,101,Canberra,1,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Count,18634
ACT,101,Canberra,1,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Percent,19.95
ACT,101,Canberra,1,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Count,130
ACT,101,Canberra,1,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Percent,10.64
ACT,101,Canberra,1,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Count,0
ACT,101,Canberra,1,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Percent,0
ACT,101,Canberra,1,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,-1222
ACT,101,Canberra,1,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,-100
ACT,101,Canberra,1,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,10715
ACT,101,Canberra,1,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,11.47
ACT,101,Canberra,1,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,528
ACT,101,Canberra,1,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,43.21
ACT,101,Canberra,1,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,17476
ACT,101,Canberra,1,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,18.71
ACT,101,Canberra,1,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,375
ACT,101,Canberra,1,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,30.69
ACT,101,Canberra,1,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,45224
ACT,101,Canberra,1,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,48.42
ACT,101,Canberra,1,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,91
ACT,101,Canberra,1,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,7.45
ACT,101,Canberra,1,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Count,1356
ACT,101,Canberra,1,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Percent,1.45
ACT,101,Canberra,1,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Count,98
ACT,101,Canberra,1,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Percent,8.02
ACT,101,Canberra,2,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Count,19111
ACT,101,Canberra,2,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Percent,20.46
ACT,101,Canberra,2,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Count,477
ACT,101,Canberra,2,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Percent,35.18
ACT,101,Canberra,2,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Count,0
ACT,101,Canberra,2,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Percent,0
ACT,101,Canberra,2,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,0
ACT,101,Canberra,2,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,0
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,11136
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,11.92
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,421
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,31.05
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,17610
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,18.85
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,134
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,9.88
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,45548
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,48.76
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,324
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,23.89
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Count,0
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Percent,0
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Count,-1356
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Percent,-100
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Count,23044
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Percent,24.67
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Count,3933
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Percent,35.32
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Count,0
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Percent,0
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,0
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,0
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,0
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,0
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,-11136
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,-100
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,20325
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,21.76
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,2715
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,24.38
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,50036
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,53.57
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,4488
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,40.3
